zip_file,image_file,num_items_detected,accuracy
2024-06-02-19.zip,2024-06-02-19-27.jpg,10,0.7088353991508484
2024-06-02-19.zip,2024-06-02-19-59.jpg,9,0.7807339628537496
2024-06-02-19.zip,2024-06-02-19-52.jpg,9,0.7771603531307645
2024-06-02-19.zip,2024-06-02-19-55.jpg,9,0.769677824444241
2024-06-02-23.zip,2024-06-02-23-22.jpg,9,0.7693202429347568
2024-07-20-02.zip,2024-07-20-02-47.jpg,9,0.7689513994587792
2024-06-02-23.zip,2024-06-02-23-15.jpg,9,0.7509273158179389
2024-06-02-19.zip,2024-06-02-19-22.jpg,9,0.7436213427119784
2024-06-02-19.zip,2024-06-02-19-30.jpg,9,0.7385270496209463
2024-06-02-19.zip,2024-06-02-19-26.jpg,9,0.7353960573673248
2024-06-02-19.zip,2024-06-02-19-53.jpg,9,0.7347390684816573
2024-06-02-19.zip,2024-06-02-19-21.jpg,9,0.7316942016283671
2024-06-02-22.zip,2024-06-02-22-59.jpg,9,0.7257378631167941
2024-06-02-19.zip,2024-06-02-19-41.jpg,9,0.7172499828868442
2024-06-02-19.zip,2024-06-02-19-29.jpg,9,0.7106625570191277
2024-06-03-00.zip,2024-06-03-00-21.jpg,9,0.5764356719122993
2024-06-02-20.zip,2024-06-02-20-07.jpg,8,0.8349731490015984
2024-06-02-20.zip,2024-06-02-20-03.jpg,8,0.8341836854815483
2024-06-02-20.zip,2024-06-02-20-25.jpg,8,0.8320477157831192
2024-06-02-20.zip,2024-06-02-20-06.jpg,8,0.8303491920232773
2024-06-02-20.zip,2024-06-02-20-02.jpg,8,0.8267900496721268
2024-06-02-19.zip,2024-06-02-19-56.jpg,8,0.826330803334713
2024-06-02-21.zip,2024-06-02-21-32.jpg,8,0.8158012628555298
2024-06-02-23.zip,2024-06-02-23-17.jpg,8,0.7963382303714752
2024-06-02-19.zip,2024-06-02-19-07.jpg,8,0.7932592034339905
2024-06-02-20.zip,2024-06-02-20-26.jpg,8,0.7892675288021564
2024-06-02-19.zip,2024-06-02-19-32.jpg,8,0.7886021733283997
2024-07-20-02.zip,2024-07-20-02-49.jpg,8,0.7874281778931618
2024-06-02-14.zip,2024-06-02-14-57.jpg,8,0.7857775390148163
2024-06-02-19.zip,2024-06-02-19-57.jpg,8,0.7856084406375885
2024-06-02-19.zip,2024-06-02-19-58.jpg,8,0.7837319895625114
2024-06-02-19.zip,2024-06-02-19-54.jpg,8,0.7835008427500725
2024-06-02-20.zip,2024-06-02-20-51.jpg,8,0.7827362939715385
2024-06-02-19.zip,2024-06-02-19-16.jpg,8,0.7807923406362534
2024-06-02-21.zip,2024-06-02-21-07.jpg,8,0.7756901159882545
2024-06-02-19.zip,2024-06-02-19-17.jpg,8,0.769883967936039
2024-06-02-19.zip,2024-06-02-19-34.jpg,8,0.7694477662444115
2024-06-02-19.zip,2024-06-02-19-33.jpg,8,0.7665736451745033
2024-06-02-19.zip,2024-06-02-19-35.jpg,8,0.7661735787987709
