time,mean_gray
2024-06-09T12:57:26.397537,30
2024-06-09T12:58:12.726197,30
2024-06-09T12:59:17.763695,30
2024-06-09T13:00:14.998517,30
2024-06-09T13:01:15.008168,30
2024-06-09T13:02:15.031189,30
2024-06-09T13:03:14.869622,30
2024-06-09T13:10:14.998684,30
2024-06-09T13:20:15.029847,30
2024-06-09T13:30:14.835010,30
2024-06-09T13:40:15.030941,30
2024-06-09T13:50:15.030871,30
2024-06-09T14:00:15.030255,30
2024-06-09T14:10:15.030711,30
2024-06-09T14:20:15.031449,30
2024-06-09T14:30:15.030896,30
2024-06-09T14:40:15.030821,30
2024-06-09T14:50:15.031325,30
2024-06-09T15:00:15.030575,30
2024-06-09T15:10:15.062354,30
2024-06-09T15:20:15.030724,30
2024-06-09T15:30:15.030705,30
2024-06-09T15:40:15.030719,30
2024-06-09T15:50:15.030756,30
2024-06-09T16:00:15.062647,30
2024-06-09T16:10:15.030643,30
2024-06-09T16:20:15.030683,30
2024-06-09T16:30:15.030856,30
2024-06-09T16:40:15.030948,30
2024-06-09T16:50:15.030282,30
2024-06-09T17:00:15.030634,30
2024-06-09T17:10:15.030703,30
2024-06-09T17:20:15.030780,30
2024-06-09T17:30:15.030763,30
2024-06-09T17:40:15.031339,30
2024-06-09T17:50:15.030855,30
2024-06-09T18:00:15.031071,30
2024-06-09T18:10:15.030740,30
2024-06-09T18:20:15.030797,30
2024-06-09T18:30:14.999084,30
2024-06-09T18:40:15.031031,30
2024-06-09T18:50:15.031132,30
2024-06-09T19:00:15.030653,30
2024-06-09T19:10:15.030609,30
2024-06-09T19:20:15.030906,30
2024-06-09T19:30:15.047923,30
2024-06-09T19:40:15.030908,30
2024-06-09T19:50:15.031070,29
2024-06-09T20:00:15.030637,30
2024-06-09T20:10:15.030854,29
2024-06-09T20:20:15.030813,29
2024-06-09T20:30:15.040241,30
2024-06-09T20:40:15.031428,30
2024-06-09T20:50:15.031191,30
2024-06-09T21:00:15.062737,30
2024-06-09T21:10:15.030939,29
2024-06-09T21:20:15.031215,30
2024-06-09T21:30:15.031114,30
2024-06-09T21:40:14.835029,30
2024-06-09T21:50:14.999208,30
2024-06-09T22:00:15.030846,30
2024-06-09T22:10:15.030527,29
2024-06-09T22:20:15.030790,29
2024-06-09T22:30:15.030966,30
2024-06-09T22:40:15.030957,30
2024-06-09T22:50:15.031223,30
2024-06-09T23:00:15.030927,30
2024-06-09T23:10:15.063106,30
2024-06-09T23:20:15.030228,29
2024-06-09T23:30:15.063021,29
2024-06-09T23:40:15.031590,29
2024-06-09T23:50:15.031781,29
2024-06-10T00:00:15.029674,30
2024-06-10T00:10:15.029908,29
2024-06-10T00:20:15.006672,29
2024-06-10T00:30:15.030209,30
2024-06-10T00:40:15.030356,29
2024-06-10T00:50:15.062224,29
2024-06-10T01:00:15.030001,29
2024-06-10T01:10:15.029782,29
2024-06-10T01:20:14.834042,29
2024-06-10T01:30:15.030124,29
2024-06-10T01:40:15.030165,29
2024-06-10T01:50:15.030342,29
2024-06-10T02:00:15.061814,29
2024-06-10T02:10:14.834160,29
2024-06-10T02:20:14.834127,29
2024-06-10T02:30:15.030063,29
2024-06-10T02:40:15.030251,29
2024-06-10T02:50:15.030324,29
2024-06-10T03:00:15.030153,29
2024-06-10T03:10:15.062272,29
2024-06-10T03:20:15.037284,29
2024-06-10T03:30:14.998202,29
2024-06-10T03:40:15.030169,29
2024-06-10T03:50:14.998266,29
2024-06-10T04:00:15.062446,29
2024-06-10T04:10:15.030175,29
2024-06-10T04:20:15.030304,29
2024-06-10T04:30:15.030251,29
2024-06-10T04:40:15.030202,29
2024-06-10T04:50:15.030373,29
2024-06-10T05:00:14.833381,29
2024-06-10T05:10:15.047094,29
2024-06-10T05:20:15.062100,29
2024-06-10T05:30:15.030395,29
2024-06-10T05:40:15.030419,29
2024-06-10T05:50:15.030558,29
2024-06-10T06:00:15.030176,29
2024-06-10T06:10:15.030143,29
2024-06-10T06:20:15.030335,29
2024-06-10T06:30:15.030510,29
2024-06-10T06:40:15.030935,29
2024-06-10T06:50:15.030594,29
2024-06-10T07:00:15.076166,29
2024-06-10T07:10:15.030335,29
2024-06-10T07:20:15.030242,29
2024-06-10T07:30:15.030454,29
2024-06-10T07:40:14.998426,29
2024-06-10T07:50:15.030339,29
2024-06-10T08:00:15.030375,29
2024-06-10T08:10:14.998344,29
2024-06-10T08:20:15.030183,29
2024-06-10T08:30:15.030447,29
2024-06-10T08:40:15.030509,29
2024-06-10T08:50:15.030614,29
2024-06-10T09:00:15.030389,29
2024-06-10T09:10:15.030314,29
2024-06-10T09:20:15.030318,29
2024-06-10T09:30:15.030447,28
2024-06-10T09:40:15.030648,29
2024-06-10T09:50:15.030663,29
2024-06-10T10:00:15.030201,29
2024-06-10T10:10:15.030475,29
2024-06-10T10:20:15.030420,29
2024-06-10T10:30:14.998476,29
2024-06-10T10:40:14.834655,29
2024-06-10T10:50:14.998440,29
2024-06-10T11:00:15.030296,29
2024-06-10T11:10:15.030449,29
2024-06-10T11:20:14.834877,28
2024-06-10T11:30:15.030522,29
2024-06-10T11:40:15.030697,29
2024-06-10T11:50:15.030886,29
2024-06-10T12:00:15.030438,29
2024-06-10T12:10:15.030471,29
2024-06-10T12:20:15.030396,29
2024-06-10T12:30:15.030668,29
2024-06-10T12:40:15.030739,29
2024-06-10T12:50:15.030826,29
2024-06-10T13:00:15.030522,29
2024-06-10T13:10:15.030533,29
2024-06-10T13:20:15.030439,29
2024-06-10T13:30:15.030649,28
2024-06-10T13:40:15.076801,29
2024-06-10T13:50:15.030623,29
2024-06-10T14:00:15.030314,29
2024-06-10T14:10:15.030363,29
2024-06-10T14:20:15.030663,29
2024-06-10T14:30:14.834650,29
2024-06-10T14:40:15.030728,29
2024-06-10T14:50:15.062927,29
2024-06-10T15:00:15.030908,29
2024-06-10T15:10:15.030585,29
2024-06-10T15:20:15.030626,29
2024-06-10T15:30:15.030703,29
2024-06-10T15:40:15.030618,29
2024-06-10T15:50:15.030809,29
2024-06-10T16:00:15.030641,29
2024-06-10T16:10:15.030984,29
2024-06-10T16:20:15.030755,29
2024-06-10T16:30:15.030507,29
2024-06-10T16:40:15.031117,29
2024-06-10T16:50:15.031190,29
2024-06-10T17:00:15.030477,29
2024-06-10T17:10:15.030449,29
2024-06-10T17:20:14.998604,29
2024-06-10T17:30:15.029815,29
2024-06-10T17:40:15.030795,29
