time;mean_gray;count_pixels_lighter;week_of_year;slope;movement;worms;feeding_day;highlight;cutout;food
2024-08-30;35.38362265251301;62246215;35;1.3218696737214302;1;1;0;1;0;Banana
2024-08-31;30.87727658395414;72772158;35;-4.506346068558873;1;1;0;1;0;Banana
2024-09-01;26.189656464258828;68137866;35;-4.6876201196953104;1;1;0;1;0;Banana
2024-09-02;21.955984199488604;58109770;36;-4.233672264770224;1;1;0;1;0;Banana
2024-09-03;20.268495435184903;52207477;36;-1.6874887643037013;1;1;0;1;0;Banana
2024-09-04;18.737063694883275;54064671;36;-1.5314317403016275;1;1;0;0;0;Banana
2024-09-05;16.70769975362001;45181624;36;-2.0293639412632665;1;1;0;0;0;Banana
2024-09-06;15.132532027787946;38819413;36;-1.5751677258320633;1;1;0;0;0;None
2024-09-07;13.822983343512924;35526926;36;-1.309548684275022;1;1;0;0;0;None
2024-09-08;13.237716821387961;34567111;36;-0.5852665221249627;1;1;0;0;0;None
2024-09-09;12.776951752768623;32448564;37;-0.4607650686193381;1;1;0;0;0;None
2024-09-10;12.506234200795491;27740900;37;-0.2707175519731315;1;1;0;0;0;None
2024-09-11;12.592785535918342;30054487;37;0.0865513351228504;0;0;0;0;0;None
2024-09-12;12.197442862722609;29511265;37;-0.39534267319573324;0;0;0;0;0;None
2024-09-13;11.990765583956684;26406352;37;-0.206677278765925;0;0;0;0;0;None
2024-09-14;11.730275715721978;26900092;37;-0.2604898682347052;0;0;0;0;0;None
2024-09-15;11.611161805965283;23876909;37;-0.11911390975669534;0;0;0;0;0;None
2024-09-16;11.53965319086004;23718024;38;-0.07150861510524287;0;0;0;0;0;None
2024-09-17;11.470426960344668;25826710;38;-0.06922623051537258;0;0;0;0;0;None
2024-09-18;11.423345889868559;24443376;38;-0.04708107047610888;0;0;0;0;0;None
2024-09-19;11.432444959216648;25341577;38;0.009099069348089017;0;0;0;0;0;None
2024-09-20;11.50588006266841;28198044;38;0.07343510345176263;0;0;0;0;1;None
2024-09-21;21.176579544106264;39371435;38;9.670699481437854;0;0;1;0;0;Banana
2024-09-22;32.05261835345516;58723361;38;10.876038809348895;0;0;0;0;0;Banana
2024-09-23;29.96508186969925;62381690;39;-2.0875364837559083;0;0;1;0;0;Banana
2024-09-24;29.70771521550638;68171864;39;-0.25736665419287164;1;1;0;0;0;Banana
2024-09-25;27.80183223883311;68130912;39;-1.9058829766732686;0;1;0;0;0;Banana
2024-09-26;25.884253365905195;70245754;39;-1.9175788729279155;0;1;0;0;0;Banana
2024-09-27;30.026626781181054;83122432;39;4.142373415275859;0;1;1;0;0;Banana
2024-09-28;36.10198380828843;88074670;39;6.075357027107376;0;0;0;0;0;Banana
2024-09-29;33.53037430975172;93257365;39;-2.5716094985367093;0;0;0;0;0;Banana
2024-09-30;31.36006450123257;96117901;40;-2.17030980851915;0;1;0;0;0;Banana
2024-10-01;29.89997057738128;101838515;40;-1.4600939238512929;0;0;0;0;0;Banana
2024-10-02;28.854336928260178;100117978;40;-1.0456336491211005;0;0;0;0;0;Banana
2024-10-03;41.18608700591214;73033794;40;12.331750077651964;0;0;1;0;0;Melon
2024-10-04;57.11180920159375;50008153;40;15.925722195681608;0;0;0;0;0;Melon
2024-10-05;56.292507271413456;58825635;40;-0.8193019301802948;0;0;0;0;0;Melon
2024-10-06;55.327768677252315;68625309;40;-0.9647385941611404;0;0;0;0;0;Melon
2024-10-07;53.49829641359824;72098503;41;-1.8294722636540754;0;0;0;0;0;Melon
2024-10-08;50.867382612051784;75489121;41;-2.6309138015464555;0;0;0;0;0;Melon
2024-10-09;48.41859245653505;84136547;41;-2.4487901555167326;0;0;0;0;0;Melon
2024-10-10;45.98462557351147;95183210;41;-2.4339668830235794;0;1;0;0;0;Melon
2024-10-11;43.45484666733768;97176667;41;-2.529778906173796;0;1;0;0;0;Melon
2024-10-12;41.85334406870383;98307939;41;-1.60150259863385;0;1;0;0;0;Melon
2024-10-13;41.480847289558355;107386272;41;-0.37249677914547163;0;1;0;0;0;Melon
2024-10-14;39.530680117783724;108608661;42;-1.9501671717746305;0;1;0;0;0;Melon
2024-10-15;37.33825214527272;110170003;42;-2.1924279725110054;0;0;0;0;0;Melon
2024-10-16;35.773231378024505;8290556;42;-1.565020767248214;0;0;1;0;0;Melon
2024-10-26;56.90222220067625;20162603;43;24.165071404072442;0;0;1;0;1;Pineapple
2024-10-27;51.68357380231222;33399862;43;-5.2186483983640315;0;0;0;0;1;Pineapple
2024-10-28;45.00823073122236;93791939;44;-6.675343071089856;0;0;1;0;1;Oats
2024-10-29;41.372158842616614;138661651;44;-3.6360718886057484;0;0;0;0;1;Oats
2024-10-30;38.87244483629863;136393567;44;-2.499714006317987;0;0;0;0;1;Oats
2024-10-31;34.39135965682842;135642726;44;-4.481085179470206;0;0;0;0;1;Oats
2024-11-01;33.232282518695605;72350535;44;-1.1590771381328153;0;0;0;0;1;Oats
